radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
119.199548,0.131,-25.887456,0.147,2,13.124,0,13.493,0.006,13.264,0.017,13.075,0.039,13.066,0.033
119.199751,0.236,-26.33563,0.214,2,12.737,0.019,14.015,0,13.349,0.01,12.292,0.014,11.949,0.057
119.20001,0.501,-26.039542,0.389,2,15.14,0.026,16.434,0.029,15.727,0.015,14.595,0.006,14.125,0
119.200077,0.27,-25.810513,0.86,2,13.796,0.028,14.251,0,13.975,-0,13.776,-0,NA,NA
119.200333,0.403,-26.189482,0.222,2,14.021,0.011,14.555,0.011,14.227,0.015,13.932,0.012,13.839,0.085
119.201323,0.153,-26.165852,0.097,2,11.1,0.007,12.298,0.006,11.671,0.029,10.691,0.017,10.323,0.078
119.201362,0.629,-26.135005,0.407,2,15.274,0.039,16.915,0.093,16.017,0.008,14.624,0.019,13.378,0.088
119.201705,0.891,-26.239057,0.35,2,15.526,0.083,16.973,0.07,16.214,0.029,15.017,0.012,14.432,0.023
119.202017,0.191,-25.965101,1.085,2,14.764,0.017,15.493,0.044,15.076,0.033,14.495,0.041,14.307,0.006
119.202248,0.248,-25.894466,0.224,2,14.032,0.014,14.73,0.008,14.332,0.023,13.839,0.017,13.675,0.057
119.202696,0.31,-26.027704,0.139,2,13.865,0.01,15.109,0.02,14.46,0.01,13.386,0.034,12.886,0.074
119.203457,0.489,-26.15198,0.398,2,14.588,0.006,14.95,0.014,14.734,0.019,14.592,0.041,14.516,0.052
119.204054,0.344,-26.373332,0.174,2,13.554,0,14.001,0.023,13.732,0.028,13.455,0.034,13.409,0.015
119.204082,0.036,-25.65761,0.124,2,11.144,0.009,12.292,0.006,11.674,0.014,10.76,0,10.395,0.048
119.204391,0.262,-26.14433,0.214,2,13.471,0.015,14.005,0.015,13.692,0.025,13.342,0.018,13.254,0.035
119.204467,0.229,-26.078998,0.151,2,13.647,0.006,14.299,0.012,13.926,0.006,13.491,0.025,13.366,0.047
119.204497,0.35,-25.846214,0.181,2,14.392,0.01,14.991,0,14.665,0.006,14.243,0.045,14.104,0.073
119.204673,0.366,-25.534042,0.736,2,16.251,0.016,16.793,0.126,NA,NA,NA,NA,NA,NA
