radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
153.541281,0.119,-58.660119,1.436,2,NA,NA,NA,NA,NA,NA,NA,NA,13.696,0.029
153.541693,1.02,-58.466947,1.419,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.541705,1.007,-58.527577,1.272,4,13.991,0.006,15.468,0.041,14.726,-0,13.452,-0,13.028,-0
153.541743,1.075,-58.467218,1.256,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.541857,0.989,-58.556887,1.239,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.542189,1.221,-58.556413,1.263,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.542297,0.55,-58.650419,0.881,3,NA,NA,NA,NA,16.578,-0.08,15.488,-0,15.161,0.069
153.542371,1.088,-58.55646,1.327,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.542872,1.197,-58.586419,1.054,6,13.396,-0,13.936,-0,13.568,-0.006,13.297,-0,13.253,0.093
153.542946,1.571,-58.556215,1.135,4,NA,NA,NA,NA,NA,NA,NA,NA,13.5,0.082
153.542985,0.385,-58.869218,0.665,2,NA,NA,NA,NA,NA,NA,14.042,-0.018,12.917,0.014
153.543006,1.644,-58.466937,0.739,5,13.185,0.026,13.476,0.1,13.258,-0,13.196,-0,13.299,0.145
153.54307,1.513,-58.713524,1.307,2,NA,NA,NA,NA,14.815,2.009,15.617,-0,NA,NA
153.543696,0.726,-58.488913,0.843,3,15.299,0.006,16.659,0.008,16.02,-0,14.907,-0,14.287,0.024
153.543931,0.236,-58.703627,1.329,2,NA,NA,NA,NA,16.863,-0.101,15.507,-0,15.346,0.188
153.544108,0.939,-58.556494,0.831,4,13.721,0.012,14.309,0.084,13.966,-0,13.569,-0,13.465,-0
153.544878,0.501,-58.499841,1.045,4,15,0.011,15.795,0.13,15.384,-0,14.646,-0,14.446,0.109
153.545246,0.695,-58.992317,0.837,2,16.326,0.021,17.254,0,16.77,0.023,15.775,0.006,15.644,-0
153.545571,0.671,-58.935123,0.621,3,14.951,0.03,16.356,0.027,15.646,0.006,14.417,0.023,13.835,0.014
153.546936,1.467,-58.573452,1.243,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.547598,0.224,-59.011045,1.001,3,13.521,0.062,15.188,0.017,14.332,0.035,12.825,0.016,12.201,0.045
153.548601,1.389,-58.479738,1.077,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.549519,1.205,-58.573322,0.337,3,13.853,-0,14.429,-0.014,NA,NA,NA,NA,NA,NA
153.549809,0.787,-58.690507,1.046,2,NA,NA,NA,NA,15.401,-0.037,14.83,-0,14.766,0.171
153.549813,0.95,-58.928789,0.137,2,NA,NA,NA,NA,16.607,-0.075,NA,NA,16.113,-0
153.550663,0.429,-58.67341,1.013,2,14.234,-0,NA,NA,NA,NA,NA,NA,13.99,-0.03
153.550758,1.235,-58.479842,0.88,4,13.944,0.008,14.437,0.092,14.12,-0,13.783,-0,13.759,-0
153.550989,0.016,-58.479237,1.502,2,NA,NA,NA,NA,NA,NA,NA,NA,13.775,0.039
153.551395,1.076,-58.945178,1.044,2,NA,NA,NA,NA,16.832,0.061,15.206,0.017,14.411,0.047
153.551495,0.558,-58.848466,1.312,3,14.732,0.05,15.939,0.07,15.391,0.073,14.247,0.012,13.726,0.069
153.552945,0.291,-58.71028,1.261,4,13.214,0.006,13.917,0.022,13.499,-0,13.024,-0,12.935,0.094
153.555655,1.678,-58.718396,0.735,2,16.416,-0,17.352,-0.168,NA,NA,NA,NA,15.886,-0
153.555965,0.241,-58.978185,0.809,3,14.563,0.011,15.284,0.016,14.854,0.01,14.316,0.014,14.199,0.05
153.556473,0.493,-58.917661,1.053,3,NA,NA,NA,NA,16.077,0.081,13.997,0.029,12.743,0.006
153.5572,1.024,-58.902576,0.538,3,14.706,-0,15.978,-0.083,15.337,0.053,14.194,0.026,13.764,0.121
153.559032,1.099,-58.524709,0.72,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.55906,1.244,-58.524614,1.233,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.559103,1.671,-58.752398,0.264,2,NA,NA,NA,NA,16.023,-0.063,15.336,-0,15.524,-0
153.559928,0.786,-58.476163,1.162,3,16.502,-0,17.38,-0.195,NA,NA,NA,NA,16.308,0.307
153.560336,0.041,-58.65755,0.074,2,NA,NA,NA,NA,NA,NA,NA,NA,15.419,0.118
153.560452,1.549,-58.52449,0.904,6,12.409,0.036,12.815,0.074,12.566,-0,12.383,-0,12.379,0.106
153.560695,0.72,-58.701384,0.651,2,NA,NA,NA,NA,16.704,-0,15.661,-0,15.325,-0.114
153.560976,1.117,-58.545256,1.211,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.561002,1.006,-58.545157,1.301,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.561044,1.063,-58.545217,1.13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
