radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,BV
143.265726,0.483,-50.454687,0.886,3,12.875,0.008,15.267,0.006,2.392
142.561557,0.235,-50.057403,0.266,5,12.879,0.038,14.021,0.032,1.142
143.744365,0.607,-50.254142,0.22,6,12.88,0.018,14.794,0.057,1.914
142.954887,0.181,-50.659963,0.58,4,12.881,0.035,14.044,0.031,1.163
143.136947,0.358,-50.127517,0.147,7,12.881,0.026,13.551,0.044,0.67
143.42821,0.452,-50.396184,0.656,6,12.884,0.034,13.764,0.042,0.88
143.073665,0.575,-50.460396,0.692,7,12.885,0.059,13.609,0.044,0.724
142.639867,0.225,-49.916026,0.181,5,12.893,0.027,13.631,0.03,0.738
142.815099,0.223,-50.06072,0.312,5,12.894,0.045,14.605,0.047,1.711
143.496172,0.317,-49.982521,0.225,6,12.897,0.013,13.654,0.035,0.757
143.701874,0.327,-50.284654,0.259,3,12.897,0.026,13.279,0.048,0.382
142.429586,0.134,-49.996089,0.233,5,12.899,0.042,14.442,0.041,1.543
142.545124,0.406,-50.454182,0.744,5,12.901,0.028,13.86,0.019,0.959
143.409853,0.299,-49.864131,0.293,6,12.904,0.016,13.98,0.039,1.076
143.176847,0.336,-50.040525,0.301,6,12.907,0.017,13.73,0.04,0.823
142.755985,0.674,-50.68041,0.522,5,12.913,0.057,15.123,0.08,2.21
142.773094,0.258,-50.5119,0.739,5,12.913,0.053,14.822,0.048,1.909
143.342057,0.608,-50.522067,0.909,6,12.913,0.024,14.187,0.052,1.274
142.515086,0.397,-50.361491,0.555,5,12.915,0.043,13.701,0.036,0.786
143.268656,0.355,-49.819095,0.222,5,12.915,0.035,15.165,0.036,2.25
143.166011,0.463,-50.402685,0.487,7,12.916,0.038,13.506,0.047,0.59
142.501994,0.218,-50.573571,0.688,4,12.921,0.034,13.828,0.021,0.907
143.265727,0.303,-50.156327,0.264,6,12.924,0.024,14.373,0.037,1.449
143.277485,0.704,-50.540184,0.721,6,12.924,0.05,14.631,0.033,1.707
143.701916,0.651,-50.284562,0.616,5,12.93,0.009,13.348,0.024,0.418
143.293475,0.356,-49.818368,0.257,6,12.932,0.016,14.447,0.026,1.515
142.691164,0.354,-49.900545,0.248,5,12.939,0.032,13.619,0.032,0.68
142.527718,0.336,-50.232081,0.301,5,12.945,0.054,14.943,0.069,1.998
142.781198,0.3,-50.322871,0.774,4,12.95,0.054,13.619,0.043,0.669
143.079355,0.253,-50.112435,0.295,7,12.95,0.027,13.513,0.053,0.563
143.445673,0.594,-50.602045,0.747,5,12.95,0.06,13.374,0.042,0.424
